S_ID,File_id,Model_Name,file_path,Depth,Subsystem,Block_count
17,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,1,Arrays1V2/prop,11
18,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,1,Arrays1V2/prop2,13
19,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,1,MicrowaveCex/Mode_logic,9
20,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,1,MicrowaveCex/door_prop,13
21,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,1,MicrowaveV2/Mode_logic,9
22,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,1,MicrowaveV2/door_prop,13
23,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,1,DaysEnum/contract,5
24,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,1,DaysEnum/subsystem,7
25,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,2,DaysEnum/contract/guarantee,11
26,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,1,DaysEnumInvalid/contract,5
27,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,1,DaysEnumInvalid/subsystem,7
28,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,2,DaysEnumInvalid/contract/guarantee,10
29,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,1,DoorLock/Lock,13
30,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,1,DoorLock/LockSpec,12
31,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/Lock/Control,13
32,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/Lock/ControlSpec,13
33,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/Lock/Keypad,13
34,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/Lock/KeypadSpec,13
35,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/Lock/Timer,13
36,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/LockSpec/C,9
37,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/LockSpec/Locks,7
38,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/LockSpec/assume,5
39,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,DoorLock/LockSpec/guarantee (C <= 4),3
40,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,"DoorLock/LockSpec/guarantee Since(Locks, not Press) => not Unlocking",9
41,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/assume 0 <= Code,3
42,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/guarantee (Request and (Code = CurrentCode) and not MasterKey) => Granted,11
43,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/guarantee Granted => Code = CurrentCode,7
44,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/guarantee Granted => Request and not MasterKey,8
45,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/guarantee not HasHappened(Request and MasterKey) => not Granted,8
46,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/ControlSpec/guarantee true -> (HasHappened(MasterKey and Request) and CurrentCode <> pre CurrentCode  => MasterKey),13
47,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/Keypad/ElapsedTime,15
48,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/Keypad/IncompleteCode,8
49,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/Keypad/PressedDigits,19
50,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/Keypad/code,13
51,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/PreRequest,5
52,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/assume 0 <= Digit and Digit <= 9,5
53,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/guarantee (not Request) -> (not PreRequest) -> true,8
54,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/guarantee Code >= 0,3
55,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/guarantee Request => (0 <= Code and Code <= 999),8
56,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/guarantee Request => Press,5
57,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,DoorLock/Lock/KeypadSpec/guarantee true -> Request => not PreRequest and not pre PreRequest,11
58,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,"DoorLock/LockSpec/guarantee Since(Locks, not Press) => not Unlocking/Since",8
59,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,4,DoorLock/Lock/ControlSpec/guarantee true -> (HasHappened(MasterKey and Request) and CurrentCode <> pre CurrentCode  => MasterKey)/HasHappened,6
60,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,1,DoorLockCompositional/Lock,13
61,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,1,DoorLockCompositional/LockSpec,13
62,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/Lock/Control,13
63,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/Lock/ControlSpec,8
64,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/Lock/Keypad,15
65,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/Lock/KeypadSpec,14
66,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/Lock/Timer,13
67,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/LockSpec/C,9
68,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/LockSpec/Locks,7
69,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/LockSpec/assume,5
70,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,DoorLockCompositional/LockSpec/guarantee (C <= 4),3
71,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,"DoorLockCompositional/LockSpec/guarantee Since(Locks, not Press) => not Unlocking",9
72,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/ControlSpec/guarantee true,12
73,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/Keypad/CodeSpec,8
74,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/Keypad/ElapsedTime,15
75,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/Keypad/IncompleteCode,8
76,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/Keypad/PressedDigits,19
77,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/Keypad/code,13
78,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/PreRequest,5
79,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/assume 0 <= Digit and Digit <= 9,5
80,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/guarantee (not Request) -> (not PreRequest) -> true,8
81,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/guarantee Code >= 0,3
82,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/guarantee Request => (0 <= Code and Code <= 999),8
83,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/guarantee Request => Press,5
84,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,DoorLockCompositional/Lock/KeypadSpec/guarantee true -> Request => not PreRequest and not pre PreRequest,11
85,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,"DoorLockCompositional/LockSpec/guarantee Since(Locks, not Press) => not Unlocking/Since",8
86,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,4,DoorLockCompositional/Lock/Keypad/CodeSpec/assume 0 <= Digit and Digit <= 9,5
87,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,4,DoorLockCompositional/Lock/Keypad/CodeSpec/guarantee code > -5,9
88,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,1,DoorLockCompositionalHtml/Lock,13
89,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,1,DoorLockCompositionalHtml/LockSpec,13
90,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/Lock/Control,13
91,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/Lock/ControlSpec,8
92,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/Lock/Keypad,15
93,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/Lock/KeypadSpec,14
94,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/Lock/Timer,13
95,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/LockSpec/C,9
96,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/LockSpec/Locks,7
97,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/LockSpec/assume,5
98,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,DoorLockCompositionalHtml/LockSpec/guarantee (C <= 4),3
99,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,"DoorLockCompositionalHtml/LockSpec/guarantee Since(Locks, not Press) => not Unlocking",9
100,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/ControlSpec/guarantee true,12
101,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/Keypad/CodeSpec,8
102,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/Keypad/ElapsedTime,15
103,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/Keypad/IncompleteCode,8
104,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/Keypad/PressedDigits,19
105,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/Keypad/code,13
106,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/PreRequest,5
107,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/assume 0 <= Digit and Digit <= 9,5
108,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/guarantee (not Request) -> (not PreRequest) -> true,8
109,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/guarantee Code >= 0,3
110,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/guarantee Request => (0 <= Code and Code <= 999),8
111,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/guarantee Request => Press,5
112,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,DoorLockCompositionalHtml/Lock/KeypadSpec/guarantee true -> Request => not PreRequest and not pre PreRequest,11
113,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,"DoorLockCompositionalHtml/LockSpec/guarantee Since(Locks, not Press) => not Unlocking/Since",8
114,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,4,DoorLockCompositionalHtml/Lock/Keypad/CodeSpec/assume 0 <= Digit and Digit <= 9,5
115,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,4,DoorLockCompositionalHtml/Lock/Keypad/CodeSpec/guarantee code > -5,9
116,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,1,DoorLockInvalid/Lock,13
117,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,1,DoorLockInvalid/LockSpec,12
118,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/Lock/Control,12
119,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/Lock/ControlSpec,13
120,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/Lock/Keypad,13
121,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/Lock/KeypadSpec,13
122,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/Lock/Timer,13
123,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/LockSpec/C,9
124,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/LockSpec/Locks,7
125,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/LockSpec/assume,5
126,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,DoorLockInvalid/LockSpec/guarantee (C <= 4),3
127,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,2,"DoorLockInvalid/LockSpec/guarantee Since(Locks, not Press) => not Unlocking",9
128,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/assume 0 <= Code,3
129,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/guarantee (Request and (Code = CurrentCode) and not MasterKey) => Granted,11
130,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/guarantee Granted => Code = CurrentCode,7
131,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/guarantee Granted => Request and not MasterKey,8
132,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/guarantee not HasHappened(Request and MasterKey) => not Granted,8
133,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/ControlSpec/guarantee true -> (HasHappened(MasterKey and Request) and CurrentCode <> pre CurrentCode  => MasterKey),13
134,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/Keypad/ElapsedTime,15
135,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/Keypad/IncompleteCode,8
136,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/Keypad/PressedDigits,19
137,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/Keypad/code,13
138,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/PreRequest,5
139,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/assume 0 <= Digit and Digit <= 9,5
140,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/guarantee (not Request) -> (not PreRequest) -> true,8
141,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/guarantee Code >= 0,3
142,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/guarantee Request => (0 <= Code and Code <= 999),8
143,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/guarantee Request => Press,5
144,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,DoorLockInvalid/Lock/KeypadSpec/guarantee true -> Request => not PreRequest and not pre PreRequest,11
145,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,3,"DoorLockInvalid/LockSpec/guarantee Since(Locks, not Press) => not Unlocking/Since",8
146,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,4,DoorLockInvalid/Lock/ControlSpec/guarantee true -> (HasHappened(MasterKey and Request) and CurrentCode <> pre CurrentCode  => MasterKey)/HasHappened,6
147,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,1,StopwatchSpec/contract,19
148,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,1,StopwatchSpec/observer,3
149,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,1,StopwatchSpec/stopwatch,14
150,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/assume not (toggle and reset),5
151,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/ensure count = 0,3
152,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/ensure true -> count = pre count,7
153,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/ensure true -> count = pre count + 1,7
154,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/guarantee (on ==> count = 1) -> true ,8
155,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/guarantee count <= 3,3
156,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/guarantee count >= 0,3
157,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/on,9
158,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/require not reset and not on,6
159,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/require on and not reset,5
160,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/require reset,2
161,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,2,StopwatchSpec/contract/resetting,5
